Country,Border measure,Delivery of services,Education measure,Fiscal policy,Food and agricultural standards,Food and agricultural standards (voluntary),Income support,Information measure,Labelling measure,Procurement,R&I economic,R&I information,Regulation and self-regulation
Austria,0,0,0,0,0,2,0,0,0,0,0,0,1
Belgium,0,0,0,1,0,1,0,1,1,0,0,0,1
Belgium - Flanders,0,0,0,0,0,1,0,0,0,0,1,1,0
Belgium - Wallonia,0,0,0,0,0,2,0,0,0,0,0,0,0
Belgium |  Czech Republic |  Netherlands |  Poland |,0,0,0,0,0,0,0,0,1,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,2
Croatia,0,0,1,0,0,0,1,1,0,0,0,0,1
Cyprus,0,0,0,0,0,0,1,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,1,0,0,0,0,0,0,0
Denmark,0,0,0,1,0,0,0,2,0,0,0,1,2
Denmark |  Lithuania |  Norway |  Sweden |  Iceland |,0,0,0,0,0,0,0,0,1,0,0,0,0
Estonia,0,0,1,0,0,0,0,1,0,0,0,0,1
Finland,0,0,1,2,1,0,0,2,3,0,0,0,2
France,1,0,0,1,0,1,1,4,1,0,1,0,4
Germany,0,0,1,0,0,1,1,2,0,0,2,0,1
Greece,0,1,0,0,0,0,1,0,0,0,0,0,2
Hungary,0,0,1,1,1,2,0,1,0,0,0,0,4
Ireland,0,0,1,0,0,1,0,0,0,0,0,0,1
Italy,0,0,0,0,0,3,0,0,0,0,0,0,1
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,5
Lithuania,0,0,0,0,0,0,0,0,1,0,1,0,4
Malta,0,0,0,0,0,1,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,2,0,1,2,0,0,0,1
Norway,0,0,1,2,0,7,0,0,0,0,2,0,1
Poland,0,0,0,0,0,1,0,0,0,0,0,0,2
Portugal,0,0,0,1,0,0,0,0,0,0,0,0,1
Romania,0,0,0,0,0,0,0,0,0,0,0,0,6
Slovakia,0,1,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,5,0,0,0,0,1,1,2,0,0,6
Spain,0,0,0,1,0,3,0,3,0,0,0,0,2
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,2
UK,0,0,1,0,0,12,2,7,2,1,1,0,4
UK |  UK-Wales |,0,0,0,0,0,0,0,2,0,0,0,0,0
UK- England,0,0,0,0,0,0,0,0,0,0,0,0,1
UK-Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,1
UK-Scotland,0,0,0,0,1,0,0,0,0,0,0,0,0
UK-Wales,0,0,0,0,0,0,0,0,0,0,0,0,1
