Country,Policy_Count,Instrument_Diversity
United Kingdom,30,8
Slovenia,15,5
France,14,8
Norway,13,5
Finland,11,6
Hungary,10,6
Spain,9,4
Germany,8,6
Lithuania,6,3
Netherlands,6,4
Denmark,6,4
Romania,6,1
Belgium,5,5
Latvia,5,1
Greece,4,3
Italy,4,2
Croatia,4,4
Ireland,3,3
Estonia,3,3
Belgium - Flanders,3,3
Austria,3,2
Poland,3,2
Belgium - Wallonia,2,1
Sweden,2,1
Bulgaria,2,1
Portugal,2,2
UK |  UK-Wales |,2,1
Belgium |  Czech Republic |  Netherlands |  Poland |,1,1
Denmark |  Lithuania |  Norway |  Sweden |  Iceland |,1,1
Czech Republic,1,1
Cyprus,1,1
Slovakia,1,1
Malta,1,1
UK- England,1,1
UK-Northern Ireland,1,1
UK-Scotland,1,1
UK-Wales,1,1
