Country,Obesity_Prevalence
Austria,34.8
Belgium,33.9
Bulgaria,41.1
Cyprus,35.9
Czech Republic,38.8
Germany,32.6
Denmark,33.7
Euro area – 20 countries (2023-2025),33.6
Euro area – 21 countries (from 2026),33.7
Estonia,35.7
Greece,41.7
Spain,35.8
European Union - 27 countries (from 2020),34.9
Finland,37.8
France,31.3
Croatia,42.2
Hungary,35.1
Ireland,35.5
Italy,30.9
Lithuania,38.8
Luxembourg,33.0
Latvia,34.4
Malta,35.4
Netherlands,33.4
Norway,36.3
Poland,39.0
Portugal,37.7
Romania,48.5
Serbia,38.8
Sweden,36.0
Slovenia,38.0
Slovakia,39.5
Turkey,37.5
