Policy_id,Source_des,Title,Description,Keywords,Note,Year_from,Year_to,Goals,Subgoals,Ultimate_beneficiaries,Instruments,Primary_targets,Countries,Geoscopes,Formulators,links,publications,search_text,nutrition_relevant
562,Other,"‘Farm to fork’ strategy for a fair, healthy and environmentally friendly food system","This Communication from the European Commission sets out the ‘Farm to fork’ strategy which aims to accelerate the EU’s transition to a sustainable food system that: has a neutral or positive environmental impact; helps to mitigate climate change and adapt to its impacts; reverses the loss of biodiversity; ensures food security, nutrition and public health, making sure that everyone has access to sufficient, safe, nutritious and sustainable food; preserves affordability of food while generating fairer economic returns, fostering competitiveness of the EU supply sector and promoting fair trade.",food security; sustainability; environment; foodstuff; biodiversity; climate change; health,,2020.0,,Reduced environmental impact,Multiple subgoals,Society at large,Information measure,Education sector |  Food industry |,EU,Supra-national,EC,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52020DC0381,,"‘farm to fork’ strategy for a fair, healthy and environmentally friendly food system this communication from the european commission sets out the ‘farm to fork’ strategy which aims to accelerate the eu’s transition to a sustainable food system that: has a neutral or positive environmental impact; helps to mitigate climate change and adapt to its impacts; reverses the loss of biodiversity; ensures food security, nutrition and public health, making sure that everyone has access to sufficient, safe, nutritious and sustainable food; preserves affordability of food while generating fairer economic returns, fostering competitiveness of the eu supply sector and promoting fair trade. food security; sustainability; environment; foodstuff; biodiversity; climate change; health reduced environmental impact multiple subgoals",True
380,Other,2000/29/EC on protective measures against the introduction into the Community of organisms harmful to plants or plant products and against their spread within the Community,"Measures aim to protect crops, fruits, vegetables, flowers, ornamentals and forests from harmful pests and diseases (harmful organisms) by preventing their introduction into the EU or their spread within the EU.",sustainability; agriculture; horticulture; health; plant; forest;,,2000.0,2000.0,Reduced environmental impact,Plant health,Farmers,Border measure,Import/export companies,EU,Supra-national,EC - DG Sante,https://ec.europa.eu/food/plant/plant_health_biosecurity_en |  https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32000L0029 | ,,"2000/29/ec on protective measures against the introduction into the community of organisms harmful to plants or plant products and against their spread within the community measures aim to protect crops, fruits, vegetables, flowers, ornamentals and forests from harmful pests and diseases (harmful organisms) by preventing their introduction into the eu or their spread within the eu. sustainability; agriculture; horticulture; health; plant; forest; reduced environmental impact plant health",True
391,Other,2002/55/EC on the marketing of vegetable seed,"This Directive shall apply to the production with a view to marketing, and to the marketing, of vegetable seed within the Community.",DUS; distinctness; uniformity; stability; novelty; value; cultivation; variety; crop; certification; commerce; import; export; exchange; homogeneity; traceability;,,2002.0,2002.0,Viable and socially balanced EU agri-food business,Market regulation,Farmers,Regulation and self-regulation,Input suppliers,EU,Supra-national,EC - DG Sante,https://ec.europa.eu/food/plant/plant_propagation_material/legislation/eu_marketing_requirements_en |  https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32002L0055 | ,,"2002/55/ec on the marketing of vegetable seed this directive shall apply to the production with a view to marketing, and to the marketing, of vegetable seed within the community. dus; distinctness; uniformity; stability; novelty; value; cultivation; variety; crop; certification; commerce; import; export; exchange; homogeneity; traceability; viable and socially balanced eu agri-food business market regulation",True
392,Other,"2008/72/EC on the marketing of vegetable propagating and planting material, other than seed","This Directive shall apply to the marketing of vegetable propagating and planting materials, other than seeds, within the Community.",DUS; distinctness; uniformity; stability; novelty; value; cultivation; variety; crop; certification; commerce; import; export; exchange; homogeneity; traceability;,,2008.0,2008.0,Viable and socially balanced EU agri-food business,Market regulation,Farmers,Regulation and self-regulation,Input suppliers,EU,Supra-national,EC - DG Sante,https://ec.europa.eu/food/plant/plant_propagation_material/legislation/eu_marketing_requirements_en |  https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32008L0072 | ,,"2008/72/ec on the marketing of vegetable propagating and planting material, other than seed this directive shall apply to the marketing of vegetable propagating and planting materials, other than seeds, within the community. dus; distinctness; uniformity; stability; novelty; value; cultivation; variety; crop; certification; commerce; import; export; exchange; homogeneity; traceability; viable and socially balanced eu agri-food business market regulation",True
390,Other,2008/90/EC on the marketing of fruit plant propagating material and fruit plants intended for fruit production,This Directive shall apply to the marketing of fruit plant propagating material and fruit plants intended for fruit production within the Community.,DUS; distinctness; uniformity; stability; novelty; value; cultivation; variety; crop; certification; commerce; import; export; exchange; homogeneity; traceability;,,2008.0,2008.0,Viable and socially balanced EU agri-food business,Market regulation,Farmers,Regulation and self-regulation,Input suppliers,EU,Supra-national,EC - DG Sante,https://ec.europa.eu/food/plant/plant_propagation_material/legislation/eu_marketing_requirements_en |  https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32008L0090 | ,,2008/90/ec on the marketing of fruit plant propagating material and fruit plants intended for fruit production this directive shall apply to the marketing of fruit plant propagating material and fruit plants intended for fruit production within the community. dus; distinctness; uniformity; stability; novelty; value; cultivation; variety; crop; certification; commerce; import; export; exchange; homogeneity; traceability; viable and socially balanced eu agri-food business market regulation,True
374,Other,2015/412 regarding the possibility for the Member States to restrict or prohibit the cultivation of genetically modified organisms (GMOs) in their territory,"Member States in which GMOs are cultivated shall take appropriate measures in border areas of their territory with the aim of avoiding possible cross-border contamination into neighbouring Member States in which the cultivation of those GMOs is prohibited, unless such measures are unnecessary in the light of particular geographical conditions.",health; environment; labelling; traceability; food; nutrition; transport; import; trade; ban;,,2015.0,2015.0,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Regulation and self-regulation,Farmers,EU,Supra-national,EC - DG Sante,https://ec.europa.eu/food/plant/gmo/legislation_en |  https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32015L0412 | ,,"2015/412 regarding the possibility for the member states to restrict or prohibit the cultivation of genetically modified organisms (gmos) in their territory member states in which gmos are cultivated shall take appropriate measures in border areas of their territory with the aim of avoiding possible cross-border contamination into neighbouring member states in which the cultivation of those gmos is prohibited, unless such measures are unnecessary in the light of particular geographical conditions. health; environment; labelling; traceability; food; nutrition; transport; import; trade; ban; food safety reduced economic and social burden of food-borne diseases",True
28,Nourishing,5 a day,"The 5 A Day campaign is based on advice from the World Health Organization, which recommends eating a minimum of 400g of fruit and vegetables a day to lower the risk of serious health problems, such as heart disease, stroke and some cancers.",WHO; fruit; vegetable; health; portion; vitamins; micronutrients; school; diet; recommendation;,,2003.0,2003.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Media,Germany,National,"German Federal Ministry of Health, Federal Ministry of Food and Agriculture",https://www.5amtag.de/,,"5 a day the 5 a day campaign is based on advice from the world health organization, which recommends eating a minimum of 400g of fruit and vegetables a day to lower the risk of serious health problems, such as heart disease, stroke and some cancers. who; fruit; vegetable; health; portion; vitamins; micronutrients; school; diet; recommendation; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
29,Nourishing,5 a day,"The 5 A Day campaign is based on advice from the World Health Organization, which recommends eating a minimum of 400g of fruit and vegetables a day to lower the risk of serious health problems, such as heart disease, stroke and some cancers.",WHO; fruit; vegetable; health; portion; vitamins; micronutrients; school; diet; recommendation;,,2003.0,2003.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Media,UK,National,UK Public Health England,https://www.gov.uk/government/publications/government-5-a-day-logo |  https://www.nhs.uk/Livewell/5ADAY/Pages/5ADAYhome.aspx | ,,"5 a day the 5 a day campaign is based on advice from the world health organization, which recommends eating a minimum of 400g of fruit and vegetables a day to lower the risk of serious health problems, such as heart disease, stroke and some cancers. who; fruit; vegetable; health; portion; vitamins; micronutrients; school; diet; recommendation; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases",True
30,Nourishing,6 a day,The official Dietary Council recommends that we eat 6 pieces of fruit and vegetables a day,WHO; fruit; vegetable; health; portion; vitamins; micronutrients; school; diet; recommendation;,,2001.0,2001.0,Balanced and sufficient diets for all EU citizens,Reduced economic and social burden of diet related diseases,Consumers,Information measure,Media,Denmark,National,Danish Food Administration,http://altomkost.dk/deofficielleanbefalingertilensundlivsstil/de-officielle-kostraad/spis-frugt-og-mange-groensager/hvad-taeller-med-i-6-om-dagen/,,6 a day the official dietary council recommends that we eat 6 pieces of fruit and vegetables a day who; fruit; vegetable; health; portion; vitamins; micronutrients; school; diet; recommendation; balanced and sufficient diets for all eu citizens reduced economic and social burden of diet related diseases,True
456,Other,Act on Food Safety and Nutrition,"This Act establishes: sanitary requirements applicable to food; hygienic conditions to be fulfilled by foodstuffs as well as materials and products intended to come into contact with food; properties of institutions responsible for the official control of food, pursuant to Regulation (EC) No. 882/2004; provisions on food inspection. According to the Polish Federation of Food Banks, this Act is transposed in a more rigid way than the actual EU legislation. Also, in the light of Art. 52, it is unacceptable to donate food after the expiry period (‘use by’) or minimum durability date (‘best before’).",donation; durability; hygiene; expiry date; foodstuff; safety; health,,2006.0,,Food safety,Reduced economic and social burden of food-borne diseases,Consumers,Regulation and self-regulation,Food services,Poland,National,Polish Government,https://leap.unep.org/en/countries/pl/national-legislation/act-safety-food-and-nutrition,,"act on food safety and nutrition this act establishes: sanitary requirements applicable to food; hygienic conditions to be fulfilled by foodstuffs as well as materials and products intended to come into contact with food; properties of institutions responsible for the official control of food, pursuant to regulation (ec) no. 882/2004; provisions on food inspection. according to the polish federation of food banks, this act is transposed in a more rigid way than the actual eu legislation. also, in the light of art. 52, it is unacceptable to donate food after the expiry period (‘use by’) or minimum durability date (‘best before’). donation; durability; hygiene; expiry date; foodstuff; safety; health food safety reduced economic and social burden of food-borne diseases",True
