Country,Policy_Count,Instrument_Diversity,Obesity_Prevalence
Slovenia,15,5,38.0
France,14,8,31.3
Norway,13,5,36.3
Finland,11,6,37.8
Hungary,10,6,35.1
Spain,9,4,35.8
Germany,8,6,32.6
Lithuania,6,3,38.8
Netherlands,6,4,33.4
Denmark,6,4,33.7
Romania,6,1,48.5
Belgium,5,5,33.9
Latvia,5,1,34.4
Greece,4,3,41.7
Italy,4,2,30.9
Croatia,4,4,42.2
Ireland,3,3,35.5
Estonia,3,3,35.7
Austria,3,2,34.8
Poland,3,2,39.0
Sweden,2,1,36.0
Bulgaria,2,1,41.1
Portugal,2,2,37.7
Czech Republic,1,1,38.8
Cyprus,1,1,35.9
Slovakia,1,1,39.5
Malta,1,1,35.4
