File,Type,Size_KB
INDEX.md,.md,1.23
README.md,.md,1.93
executive_summary.md,.md,1.79
final_country_analysis.csv,.csv,2.44
model_dashboard.csv,.csv,0.16
obesity_vs_instrument_diversity.png,.png,124.24
obesity_vs_policy_count.png,.png,108.94
ols_coefficient_plot.png,.png,99.01
ols_coefficients.csv,.csv,0.45
ols_diagnostics.csv,.csv,1.43
ols_model_summary.csv,.csv,0.21
ols_residual_qq_plot.png,.png,90.3
ols_residuals_vs_fitted.png,.png,82.75
ols_results.html,.html,1.33
pearson_correlation_matrix.csv,.csv,0.24
policy_obesity_correlation_heatmap.png,.png,129.33
publication_regression_table.csv,.csv,0.2
spearman_correlation_matrix.csv,.csv,0.24
statistical_results.csv,.csv,0.42
